"Hotel Name",Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax
Octave Himalaya Monarch,4,Very Good,2624,3,Gandhi Nagar,,,"1,645",333
Greenpark Bengaluru,4.7,Excellent,62,4,Bannerghatta Main road,,,"6,345","1,350"
ITC Gardenia - A Luxury Collection Hotel,4.5,Excellent,1389,5,Ashok Nagar ,MG Road,2.1 km ,"11,700",
The Continentti Whitefield,4,Very Good,1189,3,Brookefield,,,"2,791",564
The Monarch Luxur,3.9,Very Good,775,4,Infantry Road ,MG Road,1.6 km ,"3,723",752
Ballal Residency,3.9,Very Good,875,3,Residency Road ,MG Road,2.3 km ,"3,084",836
Hibernest Indiranagar,4.2,Very Good,142,,Indiranagar,,,"1,005",325
Fortune Park JP Celestial-Member ITC Hotel Group,3.8,Very Good,1876,4,Gandhi Nagar,,,"5,292",
"Click Hotel Bangalore, International Airport",4.2,Very Good,438,3,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,"3,510",421
Omatra Hotel HSR,3.4,Good,91,,Outer Ring Road,,,"2,194",539
Svenska Design Hotel,3.3,Good,627,,Electronic City,,,"1,999",642
Peninsula Suites,3.9,Very Good,1341,4,Whitefield,,,"2,264",306
Iris Hotel & Spa Bangalore,4.1,Very Good,1016,4,Residency Road ,MG Road,2.1 km ,"5,330","1,247"
SM Royal Stay Hotel near Intl Airport Bangalore,4.2,Very Good,47,3,Near Bangalore Airport ,Kempegowda Airport ,5.0 km ,"1,692",360
"Halcyon Residences
Like a 3",3.8,Very Good,613,,Koramangala,,,"2,759",755
Shangri-La Bengaluru,4.5,Excellent,584,5,Palace road ,Bangalore Palace,1.9 km ,"13,500",
The Leela Bhartiya City Bengaluru,4.6,Excellent,213,5,Tirumanahalli,,,"11,000",
"Holiday Inn Express & Suites, OMR Bengaluru",4.1,Very Good,526,4,Whitefield,,,"3,999",
Fairfield By Marriott Bengaluru Rajajinagar,3.9,Very Good,883,4,Rajajinagar,,,"5,400",
The Zuri Whitefield,4.3,Excellent,662,5,Whitefield,,,"6,501",780
MAYBAACH HOTELS,4.1,Very Good,79,3,Marathahalli,,,"2,820",660
Regenta Place Bangalore by Royal Orchid Hotels Limited,3.5,Very Good,923,4,Shivaji Nagar ,MG Road,2.2 km ,"2,848",342
Icon Business Hotel by Bhagini,3.6,Very Good,1024,3,HAL old airport road,,,"2,300",465
Sterlings Mac Hotel & Suites,4.1,Very Good,732,5,HAL old airport road,,,"6,768","1,368"
